seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.382813,175.426,0.404387,9.66222,-1.24188,0.35861,1.40716,-0.0484036
0.442383,175.32,0.827917,7.21915,-0.638884,0.406257,0.645416,-0.00686479
0.5,175.204,0.574277,12.0383,0.129212,-0.0531131,-1.16091,-0.0942185
0.557617,175.531,0.550349,7.29811,0.842274,-0.0549457,-1.42358,-0.014806
0.615234,175.13,-0.667598,2.42632,-1.29452,0.155192,-0.529888,-0.369719
0.672852,175.553,1.52184,9.26501,-2.16072,-0.212549,-0.181695,-0.0251908
0.827148,175.669,-0.918844,3.40499,-5.15414,0.177183,-1.06928,0.107367
0.958008,175.51,-2.534,6.74776,0.114856,-0.144132,-1.63128,0.308342
1.0166,175.32,7.36272,7.07318,-1.51466,-0.109313,-0.802334,-0.2506
1.07422,174.908,-14.7111,12.2752,-1.38305,-0.189336,1.65273,0.0927062
1.13184,175.109,0.856631,10.9783,0.287139,-0.19239,0.0150032,0.0560543
1.18945,174.834,-0.138784,10.3537,-0.933201,-0.0830455,0.291114,-0.023969
1.24707,174.971,0.394816,5.81217,-1.06481,0.157025,0.484148,-0.0636752
1.30469,175.024,-0.559921,11.1482,1.32323,0.11121,0.230028,-0.014806
1.53418,174.612,1.26341,14.7087,4.36212,0.0922728,0.223919,-0.13026
1.59277,175.637,0.337388,8.99223,0.00717847,0.0250777,0.165887,0.00657424
1.65039,174.464,-0.189033,13.4955,-0.289532,0.0476797,-0.758352,-0.0887207
1.70801,174.718,-0.155533,13.6582,-3.49591,-0.0720499,0.710778,0.175173
1.76563,174.527,1.02413,6.87937,-1.45962,0.0379058,-0.0741831,0.00107646
1.82324,174.866,-5.94617,7.00858,2.93121,0.205283,-4.7418,-0.218835
1.88086,175.278,-1.28495,10.8036,0.524028,0.0238559,-0.150541,0.0487239
2.00977,175.077,-1.64626,9.74836,-1.58166,0.0336298,-0.565929,0.168453
2.06934,175.088,1.81855,8.04945,0.480958,0.0201907,0.0736462,0.0762129
2.19043,175.901,1.44766,9.80579,0.61017,-0.00607647,0.0736462,-0.01053
2.24902,175.426,-1.18445,9.81775,1.03849,0.0238559,-0.578147,-0.0215255
2.30664,175.933,1.1988,9.63111,0.559921,0.00675172,0.879988,-0.0117517
2.36426,175.563,-0.0215354,9.45644,0.449851,-0.00668733,0.00400764,-0.0569557
2.42188,175.764,-0.454636,10.0977,0.174676,-0.0103525,1.71443,0.167843
2.64844,175.711,-0.705883,9.59761,-0.428315,-0.301735,0.325323,-0.0844447
2.70703,175.479,-1.71087,9.58326,0.851845,-0.240038,-0.456584,-0.0264125
2.76465,176.134,0.538385,9.92782,3.6993,-0.667643,-0.824936,0.112254
2.82227,175.521,0.722633,9.24348,-0.746561,0.199785,0.178715,0.112254
2.88086,176.229,0.198604,10.3944,-2.23729,0.166798,0.110298,0.108589
2.93848,176.155,2.35215,9.58804,1.83769,0.376325,0.482926,-0.122929
2.99609,176.071,0.0478565,8.87259,0.892523,-0.00118953,0.957568,-0.20112
3.05469,176.43,0.11007,8.9348,-0.117248,-0.105647,0.0650941,0.0267328
3.18359,176.292,-1.71805,9.81775,-0.193819,-0.0543348,0.029664,-0.0398515
3.24219,176.832,-0.760918,9.734,0.526421,-0.0134069,-0.435204,0.0994257
3.30078,176.208,1.05523,9.80339,-0.399601,-0.0598326,0.186045,0.0432261
3.3584,173.703,1.93579,9.69811,-0.425922,0.158857,0.0168358,0.0420044
3.4873,169.349,2.71585,8.57827,0.263211,0.0653948,0.666185,0.13791
3.54492,176.969,-0.31346,11.1601,0.677169,0.0751686,0.34426,-0.168744
3.60254,176.071,4.35015,9.90868,1.02652,0.0421819,-0.0497485,0.0823215
3.83691,175.553,-0.0933201,9.75554,-0.634098,0.0941055,0.0553203,0.0114612
3.89551,176.219,-0.167498,9.80339,-0.650848,0.0629513,0.0418813,0.0151263
3.9541,176.24,0.200997,9.77707,-0.284746,0.0317971,-0.0399747,0.021235
4.01172,175.764,0.42353,9.77229,-0.229711,0.0195799,-0.0259247,0.0322306
4.06934,176.102,0.148355,9.76032,-0.758525,-0.0146286,-0.0888439,0.0615521
4.12695,176.081,1.07916,9.74357,0.308674,-0.0231807,0.0767006,0.0224567
4.18457,175.722,0.215354,9.68615,-0.555135,-0.0402849,-0.0436398,0.0249002
4.31641,176.62,0.495314,9.64308,0.308674,0.0226342,0.0455464,-0.0319103
4.375,176.462,-0.167498,9.60718,-0.136391,-0.0121851,0.0137815,-0.00808653
4.43359,176.335,0.839881,9.74118,-0.0215354,-0.00607647,0.0534877,0.0139046
4.49121,176.578,1.07438,9.72204,0.136391,-0.0378415,-0.0436398,-0.00625393
4.54883,176.62,0.399601,9.76032,0.0765703,-0.0140177,-0.0558572,-0.0306885
4.60645,176.345,-0.00239282,9.76272,-0.0741775,0.00491911,0.0944157,-0.0245799
4.66406,176.451,0.734597,9.75793,0.066999,-0.00485472,0.0553203,-0.0160278
4.9707,176.345,0.179462,9.72922,-0.0789632,-0.0384523,-0.0454724,-0.06001
5.0293,176.187,0.512064,9.75076,0.251246,-0.0378415,0.0351617,-0.0587883
5.08594,175.912,0.267996,9.73879,0.0358923,-0.0250133,0.0223336,-0.0630644
5.14355,175.648,0.244068,9.75076,0.689133,-0.012796,0.164054,-0.0532906
5.20215,174.982,0.0646062,9.74118,-0.217747,-0.00974166,-0.0002684,-0.0862772
5.25879,175.701,-0.0478565,9.72683,0.459422,0.00797343,0.156724,-0.0740599
5.31641,175.954,-0.0167498,9.75793,0.184247,0.0183581,-0.0344768,-0.0740599
5.44922,175.553,0.208176,9.81057,0.200997,0.028132,0.0693702,-0.0386298
5.50781,175.183,0.397209,9.72683,-0.0119641,0.00980601,0.0864744,-0.0288559
5.56445,175.204,0.275175,9.76751,0.39003,0.032408,0.03394,-0.0514579
5.62207,175.606,-0.131605,9.73879,-0.356531,0.0275211,0.0858636,-0.0312994
5.67969,175.436,0.208176,9.76511,-0.114856,-0.00851992,0.00278592,-0.01053
5.7373,175.669,0.112463,9.70768,0.260818,0.00369738,0.0363835,-0.0270233
5.79492,176.018,0.0287139,9.7364,-0.0502493,-0.00118953,-0.0277573,-0.0160278
6.02539,175.722,0.179462,9.72443,0.153141,-0.0176829,0.0168358,-0.000145286
6.08398,175.531,0.155533,9.72443,0.689133,-0.00241128,0.084031,0.00107646
6.1416,175.986,-0.129212,9.734,0.267996,0.0256885,0.0846418,0.0401718
6.2959,175.542,-0.0550349,9.83929,0.162712,0.0537883,0.0400487,0.0316197
6.35352,175.32,0.0311067,9.74836,0.129212,0.0226342,-0.00820971,0.0395609
6.41113,175.066,0.227318,9.71247,0.0167498,0.0195799,-0.0674636,0.0218459
6.53613,174.919,0.705883,9.74597,0.0837488,0.0794447,0.0253879,0.0187915
6.59473,175.204,1.03609,9.7699,-0.473779,0.0379058,0.0864744,0.0157372
6.65332,174.876,0.535992,9.7364,0.497707,0.0348515,0.0314965,-0.0123626
6.71094,174.919,0.0717847,9.75793,-0.0502493,0.059897,0.020501,-0.0141952
6.76855,175.045,0.112463,9.79382,-0.727418,0.0342406,0.0345509,0.0395609
6.82617,174.961,1.17727,9.67418,0.59342,0.0311863,-0.0558572,0.000465602
6.88379,175.014,0.595813,9.72204,0.145962,0.028132,0.0571529,-0.0215255
6.94141,174.929,0.299103,9.73879,-0.102891,-0.00485472,0.0302748,-0.0306885
7.16309,175.531,-0.818345,9.86322,-0.775275,-0.0390632,0.310662,0.00657424
7.22852,175.447,0.89013,9.76751,-0.318246,-0.0879324,-0.0283682,-0.0361863
7.28613,175.521,-0.358923,9.65743,-0.234497,-0.0347871,-0.18475,-0.0484036
7.34375,175.436,0.547956,9.53061,-0.0454636,-0.00363301,-1.48467,-0.0111408
7.40137,174.982,-0.0550349,9.81057,0.806381,0.0110278,0.0290531,-0.0343537
7.45898,175.288,1.15573,9.49712,0.215354,0.0122495,0.476817,-0.078336
7.67578,175.014,0.897309,9.76272,-0.244068,-0.0408958,0.548899,-0.0484036
7.73438,175.236,-0.287139,9.70768,0.330209,-0.0317328,0.629533,-0.00197788
7.79199,175.331,0.31346,9.64547,0.40678,0.0287428,0.215978,-0.0129734
7.84961,175.373,0.557528,9.92064,-0.399601,0.0128604,0.296001,-0.0050322
7.90723,175.542,0.442672,9.67179,1.45962,0.0311863,0.742543,0.00840685
7.96484,175.066,0.691526,9.67179,-0.973879,0.0275211,0.0901396,-0.0429058
8.02246,175.447,1.22034,9.52822,2.33061,0.00552997,0.649081,-0.0190821
8.24316,175.278,1.12702,9.49712,0.349352,-0.0201264,0.357699,-0.055734
8.30176,175.31,-1.2347,9.9015,-0.401994,-0.00424387,-0.212849,-0.0722273
8.35938,175.183,-0.102891,10.4686,-1.05045,-0.00241128,0.503084,0.0145155
8.41699,174.866,-0.29671,9.99004,1.00738,0.0672273,-0.0815135,-0.00197788
8.47461,174.876,-0.492922,9.26022,-1.12702,0.0427927,-0.697265,-0.0471819
8.53223,174.601,-0.215354,9.81057,0.428315,0.0543992,-1.37349,-0.0801686
8.58984,175.003,-0.524028,9.57129,0.842274,0.068449,-0.755908,-0.0593992
8.71289,175.299,0.0861416,9.65504,1.2658,0.0476797,0.00828367,-0.118042
8.77148,175.352,-0.928415,9.39661,1.12223,0.11182,0.139009,-0.014806
8.83008,175.13,-0.189033,9.61436,0.842274,0.0287428,-0.231786,-0.0300777
8.95215,174.992,-0.277568,9.76272,-0.732204,0.0214125,-0.59464,-0.0386298
9.00977,175.267,-0.260818,9.79622,1.22991,0.0501231,-0.31242,-0.0490145
9.06738,175.151,0.277568,9.74118,0.399601,0.0299646,-0.229954,-0.0123626
9.125,175.13,0.5336,9.868,0.837488,0.0311863,0.148783,0.0126829
9.18262,174.919,-0.165105,9.87279,-1.30648,0.00919515,0.00828367,0.0560543
9.4082,175.362,-0.251246,9.81057,0.0215354,-0.000578672,-0.159093,0.021235
9.46777,175.732,0.837488,9.64308,-0.459422,-0.071439,-0.271492,0.0157372
9.52441,175.606,-1.10548,9.68615,0.287139,-0.0634978,-0.136491,0.0389501
9.58203,174.982,0.677169,9.74836,0.445065,-0.0329545,-0.270882,0.0646064
9.63965,175.31,0.0287139,9.76751,-0.51685,-0.0152394,-0.056468,0.140965
9.69727,174.802,-0.0646062,9.7005,0.143569,-0.0164612,0.00461847,0.147684
9.75488,175.109,1.39023,9.57129,0.519243,0.0238559,0.0235553,0.123249
9.88086,175.119,0.746561,9.73879,-0.117248,0.0702817,-0.10717,0.163567
9.93945,174.855,1.35673,9.70768,-0.282353,0.0543992,0.143896,0.133634
9.99805,175.489,0.449851,9.65265,-0.160319,0.0427927,0.112131,0.10981
10.0557,175.088,0.928415,9.71486,-0.174676,0.0464579,-0.0637984,0.152571
10.1133,175.32,1.17488,9.734,-0.416351,0.0953272,0.0498225,0.0908736
10.2393,175.172,1.49551,9.71725,-0.385244,0.068449,0.0400487,0.100647
10.2959,175.119,1.49312,9.66222,-0.179462,0.0574535,-0.00149012,0.0768237
10.5176,175.595,1.70848,9.68375,-0.614955,0.0165255,0.0174467,-0.0923859
10.5762,175.648,1.04566,9.66222,-0.650848,0.0269102,0.0864744,-0.141866
10.6436,175.458,0.571885,9.69811,-0.70349,-0.00851992,-0.0210379,-0.0966619
10.7002,174.919,0.579063,9.66222,-0.531207,-0.0402849,-0.0662419,-0.064897
10.7578,175.056,0.882952,9.68375,-0.514457,-0.0329545,0.0217227,-0.0710056
10.8154,174.781,0.325424,9.71247,-0.459422,-0.0250133,-0.0778483,-0.0196929
10.873,174.908,0.677169,9.70529,-0.162712,-0.0231807,-0.101672,0.0554435
11.002,175.891,1.4333,9.65743,0.00957129,-0.00668733,-0.105948,0.0609412
11.0605,175.711,1.57208,9.63829,0.267996,0.0525666,0.0467682,0.00107646
11.1191,175.553,1.37587,9.69093,-0.165105,0.0806664,0.093194,-0.0050322
11.1768,175.267,1.37109,9.65983,-1.80658,-0.0256241,0.0278314,-0.0416841
11.2354,175.119,1.40219,9.62154,0.356531,-0.00607647,-0.1426,-0.023969
11.293,175.267,1.27777,9.56651,-0.100499,0.0513449,-0.118165,-0.0618427
11.3506,175.405,1.21316,9.73161,-1.07916,0.0702817,-0.0864005,-0.0618427
11.5762,175.531,0.921237,9.6359,0.0526421,0.064173,-0.0906765,0.0310088
11.7168,175.521,1.84008,9.72922,-1.42373,0.0531774,0.0272205,0.0255111
11.7744,175.479,1.36869,9.65025,-0.129212,-0.0237916,0.186045,-0.0435167
11.832,175.531,1.06002,9.6694,-0.468993,-0.012796,-0.109613,-0.0453493
11.8896,175.584,1.48355,9.68136,-0.51685,-0.0244024,0.0113381,-0.0227473
11.9473,175.637,1.55294,9.6694,-0.392423,-0.0121851,0.0669267,-0.0722273
12.0049,175.236,0.89013,9.69093,-0.212961,-0.035398,-0.00943142,-0.0758925
12.1348,175.775,1.51226,9.72922,-0.509671,-0.0909867,0.0821984,-0.0416841
12.1934,175.574,0.710669,9.64308,1.12702,-0.0995388,-0.0796809,-0.0758925
12.251,175.088,1.43091,9.71965,-0.0358923,-0.0140177,-0.0436398,-0.0380189
12.3086,175.056,1.14855,9.69093,-0.193819,0.0580644,-0.137102,-0.0258016
12.3662,175.32,0.691526,9.71486,0.0646062,0.0757795,-0.0601332,-0.0154169
12.4238,174.485,0.691526,9.72922,-0.27996,0.0843315,0.0125598,0.00962856
12.4814,174.654,1.48355,9.7364,-0.775275,0.0806664,-0.102283,-0.00747564
12.707,175.595,1.06241,9.62393,-0.311067,-0.0836563,-0.105948,-0.0545123
12.7656,175.066,1.1342,9.72922,-0.655633,-0.0922084,-0.052192,-0.0569557
12.8232,175.13,0.722633,9.69811,-0.215354,-0.109313,0.158556,-0.0618427
12.8809,174.897,1.01216,9.71725,-0.425922,-0.0482261,-0.117554,-0.0587883
13.041,175.563,1.3017,9.68136,0.0334995,-0.118476,-0.0583006,-0.0166386
13.0977,175.436,0.545564,9.60001,0.392423,-0.183227,0.0235553,-0.0410732
13.1553,175.838,0.31346,9.78664,0.579063,-0.184449,-0.448643,-0.0997163
13.2891,175.891,0.291924,9.64786,-0.0215354,-0.189336,-0.101672,-0.06001
13.3477,176.145,1.02174,9.6359,0.480958,-0.325559,0.0705919,-0.105214
13.4043,175.997,0.260818,9.78664,0.397209,-0.185671,0.11152,-0.0123626
13.4619,176.229,3.08195,9.68136,0.466601,-0.194223,0.221476,0.0389501
13.5195,175.352,1.95733,9.66222,1.08634,-0.297459,-0.0760157,-0.119875
13.5771,175.51,0.993022,9.59283,1.11984,-0.296848,-0.0063771,-0.171187
13.6348,175.278,0.519243,9.59044,1.9669,-0.224766,-0.0686854,-0.207839
13.8682,175.426,-0.471386,9.40858,2.58903,0.105712,0.00706196,-0.064897
13.9277,175.806,-0.502493,9.67897,1.91904,0.22483,0.115185,0.034674
13.9844,175.954,0.40678,9.74118,1.33041,0.246822,0.293558,0.103702
14.042,175.648,-0.18664,9.77229,0.959522,0.235215,0.4365,0.0896519
14.1064,176.102,0.299103,9.62633,0.258425,0.193065,0.192154,0.104924
14.1631,175.701,1.1007,9.70529,0.100499,0.149694,0.0382161,0.104924
14.2217,176.102,0.978664,9.70768,0.607777,0.0183581,0.0437138,0.00657424
14.4492,175.278,0.710669,9.64308,1.06959,-0.0213481,-0.121831,-0.0123626
14.5078,175.658,0.358923,9.73879,0.457029,-0.0470044,-0.120609,-0.0441275
14.5664,175.246,0.124427,9.65983,1.05523,-0.0525022,-0.215293,-0.0667295
14.624,175.162,0.875773,9.72922,1.26341,-0.0360088,0.121294,-0.0380189
14.6816,175.288,0.693919,9.74597,0.696311,-0.0305111,0.0217227,-0.0361863
14.7393,175.479,0.196212,9.74118,1.1318,-0.0329545,-0.0308117,-0.0545123
14.7969,175.574,0.344566,9.68375,1.48355,-0.00241128,0.0137815,-0.0404624
15.0254,175.014,0.478565,9.64308,1.25862,0.0886076,-0.247058,-0.0184712
15.084,174.76,0.224925,9.72922,0.76331,0.0574535,0.153059,0.0132938
15.1416,175.003,0.665205,9.73879,0.696311,0.0403493,0.0595964,0.0310088
15.2002,175.394,1.1318,9.76272,0.425922,-0.00546561,0.103579,0.0297871
15.2568,175.014,0.72024,9.72204,0.691526,-0.0115743,-0.0546355,-0.042295
15.3145,174.94,0.624527,9.73161,0.5336,-0.0476153,-0.104726,-0.0209147
15.3721,175.288,0.837488,9.76272,0.739382,-0.0726607,-0.0234813,-0.0258016
15.4297,174.739,0.705883,9.74597,1.39741,-0.0378415,0.0327183,-0.0667295
15.5576,175.193,0.550349,9.56411,1.32562,-0.021959,-0.196356,-0.069173
15.6162,174.897,0.358923,9.58086,1.50987,0.0977706,0.0620398,-0.028245
15.7412,174.929,0.224925,9.69811,1.12463,0.114264,-0.0240922,0.0151263
15.7988,174.919,0.205783,9.6694,1.28495,0.157635,0.0767006,0.030398
15.8564,175.066,0.526421,9.67897,1.00738,0.171685,0.256295,0.0633847
15.9141,175.003,0.806381,9.64308,0.698704,0.157635,-0.116944,0.0652173
15.9717,174.781,0.480958,9.65983,0.801595,0.140531,-0.171922,0.0914845
16.2041,175.151,1.11745,9.7029,0.411566,0.164355,0.0455464,-0.000145286
16.2627,174.961,1.14377,9.72443,-0.502493,0.15397,-0.00271183,-0.0300777
16.3203,174.549,0.808774,9.69572,-0.399601,0.119762,-0.0320334,-0.00564307
16.3779,174.802,0.98345,9.70768,-0.37328,0.0605078,-0.0155401,-0.0361863
16.4355,174.876,0.957129,9.71486,0.0119641,0.0434036,0.0180575,-0.0178604
16.4932,174.95,1.00259,9.68854,0.0789632,0.0214125,0.0168358,-0.0306885
16.5508,175.278,0.710669,9.70529,0.0287139,0.0391275,0.0993026,-0.0203038
16.6768,175.257,1.11745,9.74836,0.102891,-0.0244024,0.0895287,-0.060621
16.7363,175.172,0.617348,9.70768,-0.57667,-0.039674,-0.056468,-0.082612
16.793,175.066,0.473779,9.72204,-0.301496,-0.0732716,-0.129161,-0.0337429
16.8506,175.193,0.624527,9.74597,-0.457029,-0.126417,0.255684,0.0328414
16.9082,175.267,0.732204,9.66222,0.224925,-0.224766,-0.00149012,0.0401718
17.0322,175.119,1.32802,9.69333,0.710669,-0.18506,-0.145654,-0.01053
17.0889,175.394,1.51944,9.62872,1.56012,-0.161847,0.00217503,-0.0728382
17.3252,175.553,0.208176,9.69093,1.21077,-0.0341763,0.143896,-0.290306
17.3838,175.066,-0.349352,9.69572,1.10309,0.0104169,0.611207,-0.171798
17.4414,175.468,0.0239282,9.58565,0.959522,0.0427927,0.0479899,-0.199287
17.499,175.151,-0.468993,9.69572,1.09591,0.0562318,0.308218,-0.150418
17.5654,174.961,-1.35673,9.60958,0.784846,0.0660056,-0.165813,-0.0667295
17.6221,175.003,-1.12702,9.6694,0.784846,0.0592861,0.0663159,0.0762129
17.6797,175.003,-0.0837488,9.69093,0.509671,0.0440145,0.157335,0.131191
17.8066,175.531,0.385244,9.72443,0.600599,-0.00485472,0.0266097,0.0774346
17.8662,175.553,1.03131,9.57129,0.87338,-0.0384523,-0.169478,0.0694933
17.9229,175.468,1.0672,9.77468,0.311067,-0.0769368,0.0241662,-0.00808653
17.9805,175.32,0.445065,9.7364,0.636491,-0.0702173,0.107855,-0.0936076
18.0381,175.352,0.382852,9.65025,1.39741,-0.0732716,-0.0479159,-0.0795577
18.0957,175.214,0.445065,9.69093,1.11027,-0.067163,-0.0118749,-0.108879
18.1533,175.32,-0.327817,9.67658,0.744168,-0.0500588,0.0143924,-0.139422
18.3818,175.753,0.698704,9.71247,1.42373,-0.137412,0.000953317,-0.103992
18.5322,177.201,0.418744,9.60001,1.07438,-0.157571,0.138398,-0.152251
18.5898,176.155,-0.591027,9.70768,1.32802,-0.156349,-0.0454724,-0.179129
18.6475,175.838,-0.902094,9.73161,2.22772,-0.0830455,-0.056468,-0.13026
18.7051,176.018,-0.174676,9.43011,2.51486,-0.0109634,0.00400764,-0.103381
18.7627,175.606,-0.569492,9.18365,2.333,0.0208016,0.0498225,-0.0942185
18.8203,175.035,-0.878166,9.28655,2.45264,0.0635622,0.0547094,-0.0624535
18.9492,175.669,-0.648455,9.49472,1.3352,0.248043,0.119461,0.0114612
19.0078,175.68,-0.595813,9.47079,1.64148,0.23888,0.14695,0.0181807
19.0654,175.405,-0.5336,9.65743,0.89013,0.23827,0.0247771,0.0499457
19.123,175.627,-0.112463,9.77947,0.571885,0.157025,-0.10717,0.053
19.1807,175.468,-0.602991,9.70768,-0.136391,0.0543992,0.129846,0.0389501
19.2393,175.637,-0.581456,9.63111,0.258425,-0.0176829,-0.020427,0.0560543
19.2969,175.479,-0.433101,9.67658,0.334995,-0.0812128,0.108466,0.0591086
19.3545,175.341,0.39003,9.69572,0.739382,-0.127639,0.145117,0.0371175
19.5791,175.923,-0.380459,9.60718,1.29212,-0.0537239,-0.0503594,-0.0679513
19.6377,176.039,-0.760918,9.58326,1.1318,-0.0555565,-0.024703,-0.0795577
19.6953,176.113,-0.607777,9.48515,1.85683,-0.0323437,-0.0980069,-0.100938
19.8555,175.88,-0.736989,9.68136,1.80658,0.0159146,0.0718137,-0.0679513
19.9131,175.87,-0.909273,9.56172,1.72523,0.0513449,0.18238,-0.0319103
19.9707,176.197,-0.916451,9.61197,1.22273,0.0458471,0.129846,0.0071851
20.0283,176.018,-0.449851,9.57368,1.88076,0.0360732,0.113963,0.0493348
20.1543,176.398,-0.818345,9.69811,0.696311,-0.0176829,0.0241662,0.00840685
20.2139,176.514,-0.526421,9.61676,1.09831,-0.0555565,-0.0900655,-0.0129734
20.2715,176.155,-0.411566,9.54976,0.815953,-0.067163,-0.129161,-0.0563449
20.3291,176.06,-0.129212,9.53061,1.28734,-0.0793803,-0.143211,-0.121707
20.3867,175.923,-0.299103,9.70768,1.24905,-0.0879324,-0.132215,-0.141866
20.4443,175.933,-0.538385,9.42772,1.70848,-0.0311219,0.0284422,-0.13026
20.502,175.997,-1.42134,9.14776,1.45723,-0.0182938,0.198263,-0.103992
20.7295,176.039,-0.342174,9.47079,1.87358,0.0458471,0.105411,0.0823215
20.7881,175.901,-0.758525,9.84407,1.48355,0.0971597,0.0107272,0.108589
20.8467,175.997,-0.478565,9.54497,1.95015,0.0751686,0.0809766,0.118973
