rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/lifeStage,lifeStage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/LifeStage,http://rs.tdwg.org/dwc/dwcore/,LifeStage
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LithostratigraphicTerms,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,LithostratigraphicTerms
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/LivingSpecimen,LivingSpecimen,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwctype/LivingSpecimen,http://rs.tdwg.org/dwc/dwctype/,LivingSpecimen
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/locality,locality,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Locality,http://rs.tdwg.org/dwc/dwcore/,Locality
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/locationID,locationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SamplingLocationID,http://rs.tdwg.org/dwc/terms/,SamplingLocationID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/locationRemarks,locationRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SamplingLocationRemarks,http://rs.tdwg.org/dwc/terms/,SamplingLocationRemarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone,lowestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LowestBiostratigraphicZone,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,LowestBiostratigraphicZone
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/MachineObservation,MachineObservation,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwctype/MachineObservation,http://rs.tdwg.org/dwc/dwctype/,MachineObservation
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/MaterialSample,MaterialSample,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwctype/MaterialSample,http://rs.tdwg.org/dwc/dwctype/,MaterialSample
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/materialSampleID,materialSampleID,http://rs.tdwg.org/dwc/terms/,http://gensc.org/ns/mixs/source_mat_id,http://gensc.org/ns/mixs/,source_mat_id
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/MaximumDepthInMeters,http://rs.tdwg.org/dwc/dwcore/,MaximumDepthInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/MaximumElevationInMeters,http://rs.tdwg.org/dwc/dwcore/,MaximumElevationInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementAccuracy,measurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/,eventMeasurementAccuracy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementAccuracy,measurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementAccuracy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,eventMeasurementDeterminedBy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,eventMeasurementDeterminedDate
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementDeterminedDate
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementID,measurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementID,http://rs.tdwg.org/dwc/terms/,eventMeasurementID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementID,measurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementID,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementID
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,MeasurementOrFact,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventMeasurement,http://rs.tdwg.org/dwc/terms/,EventMeasurement
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementRemarks,measurementRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementRemarks,http://rs.tdwg.org/dwc/terms/,eventMeasurementRemarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementRemarks,measurementRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementRemarks,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementRemarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementType,measurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementType,http://rs.tdwg.org/dwc/terms/,eventMeasurementType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementType,measurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementType,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementUnit,measurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementUnit,http://rs.tdwg.org/dwc/terms/,eventMeasurementUnit
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementUnit,measurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementUnit,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementUnit
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementValue,measurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementValue,http://rs.tdwg.org/dwc/terms/,eventMeasurementValue
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementValue,measurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementValue,http://rs.tdwg.org/dwc/terms/,occurrenceMeasurementValue
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/member,member,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Member,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,Member
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,minimumDepthInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/MinimumDepthInMeters,http://rs.tdwg.org/dwc/dwcore/,MinimumDepthInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/MinimumElevationInMeters,http://rs.tdwg.org/dwc/dwcore/,MinimumElevationInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/month,month,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,MonthCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/nameAccordingTo,nameAccordingTo,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonAccordingTo,http://rs.tdwg.org/dwc/terms/,taxonAccordingTo
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/namePublishedInID,namePublishedInID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/namePublicationID,http://rs.tdwg.org/dwc/terms/,namePublicationID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/nomenclaturalCode,nomenclaturalCode,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/NomenclaturalCode,http://rs.tdwg.org/dwc/dwcore/,NomenclaturalCode
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/Occurrence,Occurrence,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/Sample,http://rs.tdwg.org/dwc/terms/,Sample
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceAttributes,occurrenceAttributes,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Attributes,http://rs.tdwg.org/dwc/dwcore/,Attributes
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceDetails,occurrenceDetails,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/RelatedInformation,http://rs.tdwg.org/dwc/dwcore/,RelatedInformation
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceID,occurrenceID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/GlobalUniqueIdentifier,http://rs.tdwg.org/dwc/dwcore/,GlobalUniqueIdentifier
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy,occurrenceMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy,http://rs.tdwg.org/dwc/terms/,SampleAttributeAccuracy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedBy,occurrenceMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedBy,http://rs.tdwg.org/dwc/terms/,SampleAttributeDeterminedBy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedDate,occurrenceMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedDate,http://rs.tdwg.org/dwc/terms/,SampleAttributeDeterminedDate
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementID,occurrenceMeasurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeID,http://rs.tdwg.org/dwc/terms/,SampleAttributeID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementType,occurrenceMeasurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeType,http://rs.tdwg.org/dwc/terms/,SampleAttributeType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementUnit,occurrenceMeasurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeUnit,http://rs.tdwg.org/dwc/terms/,SampleAttributeUnit
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementValue,occurrenceMeasurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeValue,http://rs.tdwg.org/dwc/terms/,SampleAttributeValue
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,occurrenceRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleRemarks,http://rs.tdwg.org/dwc/terms/,SampleRemarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/order,order,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Order,http://rs.tdwg.org/dwc/dwcore/,Order
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/organismID,organismID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/individualID,http://rs.tdwg.org/dwc/terms/,individualID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/originalNameUsage,originalNameUsage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/basionym,http://rs.tdwg.org/dwc/terms/,basionym
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/originalNameUsageID,originalNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/basionymID,http://rs.tdwg.org/dwc/terms/,basionymID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,otherCatalogNumbers,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/OtherCatalogNumbers,http://rs.tdwg.org/dwc/curatorial/,OtherCatalogNumbers
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/parentNameUsageID,parentNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/higherTaxonNameID,http://rs.tdwg.org/dwc/terms/,higherTaxonNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/phylum,phylum,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Phylum,http://rs.tdwg.org/dwc/dwcore/,Phylum
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,pointRadiusSpatialFit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/geospatial/PointRadiusSpatialFit,http://rs.tdwg.org/dwc/geospatial/,PointRadiusSpatialFit
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/preparations,preparations,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/Preparations,http://rs.tdwg.org/dwc/curatorial/,Preparations
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/PreservedSpecimen,PreservedSpecimen,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwctype/PreservedSpecimen,http://rs.tdwg.org/dwc/dwctype/,PreservedSpecimen
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/previousIdentifications,previousIdentifications,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/PreviousIdentifications,http://rs.tdwg.org/dwc/terms/,PreviousIdentifications
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/recordedBy,recordedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Collector,http://rs.tdwg.org/dwc/dwcore/,Collector
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/recordNumber,recordNumber,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/CollectorNumber,http://rs.tdwg.org/dwc/curatorial/,CollectorNumber
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleRemarks,SampleRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Remarks,http://rs.tdwg.org/dwc/dwcore/,Remarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SamplingAttributeType,SamplingAttributeType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeType,http://rs.tdwg.org/dwc/terms/,EventAttributeType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SamplingAttributeType,SamplingAttributeType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/SampleAttributeType,http://rs.tdwg.org/dwc/terms/,SampleAttributeType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/samplingProtocol,samplingProtocol,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/CollectingMethod,http://rs.tdwg.org/dwc/dwcore/,CollectingMethod
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/scientificName,scientificName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/ScientificName,http://rs.tdwg.org/dwc/dwcore/,ScientificName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/AuthorYearOfScientificName,http://rs.tdwg.org/dwc/dwcore/,AuthorYearOfScientificName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/scientificNameID,scientificNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/TaxonNameID,http://rs.tdwg.org/dwc/terms/,TaxonNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/scientificNameRank,scientificNameRank,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRank,http://rs.tdwg.org/dwc/terms/,taxonRank
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/sex,sex,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/Sex,http://rs.tdwg.org/dwc/dwcore/,Sex
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/specificEpithet,specificEpithet,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/SpecificEpithet,http://rs.tdwg.org/dwc/dwcore/,SpecificEpithet
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/startDayOfYear,startDayOfYear,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/DayOfYear,http://rs.tdwg.org/dwc/dwcore/,DayOfYear
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/StartTimeOfDay,StartTimeOfDay,http://rs.tdwg.org/dwc/terms/,http://www.iobis.org/obis/StartTimeOfDay,http://www.iobis.org/obis/,StartTimeOfDay
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/stateProvince,stateProvince,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/StateProvince,http://rs.tdwg.org/dwc/dwcore/,StateProvince
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/subgenus,subgenus,http://rs.tdwg.org/dwc/terms/,http://www.iobis.org/obis/Subgenus,http://www.iobis.org/obis/,Subgenus
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/taxonID,taxonID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameID,http://rs.tdwg.org/dwc/terms/,scientificNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/taxonNameID,taxonNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/TaxonID,http://rs.tdwg.org/dwc/terms/,TaxonID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/taxonRank,taxonRank,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameRank,http://rs.tdwg.org/dwc/terms/,scientificNameRank
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/typeStatus,typeStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/TypeStatus,http://rs.tdwg.org/dwc/curatorial/,TypeStatus
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,verbatimCoordinates,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinates,http://rs.tdwg.org/dwc/geospatial/,VerbatimCoordinates
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,verbatimCoordinateSystem,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinateSystem,http://rs.tdwg.org/dwc/geospatial/,VerbatimCoordinateSystem
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimDepth,verbatimDepth,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/VerbatimDepth,http://rs.tdwg.org/dwc/curatorial/,VerbatimDepth
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimElevation,verbatimElevation,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/VerbatimElevation,http://rs.tdwg.org/dwc/curatorial/,VerbatimElevation
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimEventDate,verbatimEventDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/VerbatimCollectingDate,http://rs.tdwg.org/dwc/curatorial/,VerbatimCollectingDate
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimLatitude,verbatimLatitude,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/geospatial/VerbatimLatitude,http://rs.tdwg.org/dwc/geospatial/,VerbatimLatitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimLongitude,verbatimLongitude,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/geospatial/VerbatimLongitude,http://rs.tdwg.org/dwc/geospatial/,VerbatimLongitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,verbatimTaxonRank,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimScientificNameRank,http://rs.tdwg.org/dwc/terms/,verbatimScientificNameRank
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/waterBody,waterBody,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/WaterBody,http://rs.tdwg.org/dwc/dwcore/,WaterBody
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/year,year,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,YearCollected
